INVDET_TXNDATE,INVDET_PROCODE,sale,qty
9/26/2024,3,1152,9
9/27/2024,3,128,1
9/28/2024,3,896,7
9/29/2024,3,384,3
9/30/2024,3,384,3
10/1/2024,3,128,1
10/2/2024,3,1600,12
10/3/2024,3,384,3
10/5/2024,3,3200,25
10/6/2024,3,512,4
10/7/2024,3,1408,11
10/8/2024,3,256,2
10/9/2024,3,2304,18
10/10/2024,3,128,1
10/11/2024,3,128,1
10/12/2024,3,2048,16
10/13/2024,3,256,2
10/15/2024,3,128,1
10/16/2024,3,256,2
10/17/2024,3,640,5
10/18/2024,3,2176,17
10/19/2024,3,384,3
10/20/2024,3,640,5
10/21/2024,3,1920,15
10/22/2024,3,256,2
10/23/2024,3,768,6
10/24/2024,3,896,7
10/25/2024,3,1664,13
10/26/2024,3,3584,28
10/28/2024,3,512,4
10/29/2024,3,384,3
10/30/2024,3,1536,12
10/31/2024,3,256,2
11/1/2024,3,384,3
11/2/2024,3,4480,35
11/3/2024,3,1664,13
11/4/2024,3,768,6
11/5/2024,3,896,7
11/6/2024,3,640,5
11/7/2024,3,2560,20
11/8/2024,3,320,2
11/9/2024,3,2816,22
11/10/2024,3,1408,11
11/11/2024,3,2176,17
11/12/2024,3,4224,33
11/13/2024,3,512,4
11/14/2024,3,1664,13
11/15/2024,3,384,3
11/16/2024,3,1024,8
11/17/2024,3,768,6
11/18/2024,3,1536,12
11/19/2024,3,896,7
11/20/2024,3,1408,11
11/21/2024,3,1920,15
11/22/2024,3,384,3
11/23/2024,3,3328,26
11/24/2024,3,1152,9
11/25/2024,3,1536,12
11/26/2024,3,1152,9
